Model,Precision,Recall,F1
PCA-train,0.9690288713910761,0.1815142576204523,0.3057556935817805
PCA-test,0.6163934426229508,0.08458308338332333,0.14875379137544506
InvariantsMiner-train,0.9127625201938611,1.0,0.9543918918918919
InvariantsMiner-test,0.06084052628697604,1.0,0.11470249256016377
LogClustering-train,1.0,0.7662733529990167,0.867672437788788
LogClustering-test,1.0,0.7645470905818836,0.8665646778854326
IsolationForest-train,0.6762898550724638,0.5735496558505409,0.6206969938813515
IsolationForest-test,0.6727205337286879,0.5443911217756449,0.601790450928382
LR-train,0.9679144385026738,0.9966568338249754,0.9820753802926073
LR-test,0.802504816955684,0.9994001199760048,0.8901950307240182
SVM-train,0.9676893576222435,0.9924287118977384,0.9799029126213592
SVM-test,0.8024810309526678,0.999250149970006,0.8901209004074545
DecisionTree-train,0.9969595919968615,0.9995083579154376,0.998232348031032
DecisionTree-test,0.9998493749058593,0.995500899820036,0.9976703990381003
DecisionTree+SVM-train,1.0,0.9686332350049164,0.9840667299335697
DecisionTree+SVM-test,0.9998493749058593,0.995500899820036,0.9976703990381003
